Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
22,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.11810674310674311,0.04380172786422786,0.02885027885027885,0.11810674310674311,7.3332680861155195
23,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.11810674310674311,0.04380172786422786,0.02885027885027885,0.11810674310674311,7.319366057713826
24,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.10800573300573302,0.03321787810773968,0.020490578823912156,0.10800573300573302,7.401559829711914
25,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.09899672399672399,0.027827936161269495,0.01662939162939163,0.09899672399672399,7.430168867111206
26,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.09899672399672399,0.026925113934917855,0.01596700280910807,0.09899672399672399,7.43663493792216
27,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.09899672399672399,0.02475717059050392,0.01444292233765918,0.09899672399672399,7.453044493993123
28,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.0888957138957139,0.01794682918674854,0.01004774142705177,0.0888957138957139,7.510629653930664
29,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.014460741733469007,0.008005505489689304,0.07847904722904724,7.559144576390584
30,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.013540713173066113,0.007437551187551187,0.07847904722904724,7.60204799969991
31,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012828001798590033,0.007003145007177265,0.07847904722904724,7.64129098256429
