Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
1,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.11651752592929064,0.032393419977560595,0.019188857180862145,0.11651752592929064,inf
2,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.08331166250283897,0.018882813093593288,0.010737376164453019,0.08331166250283897,inf
3,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09260510223745519,0.02134398096667823,0.012335983790487465,0.09260510223745519,inf
4,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.08331166250283897,0.020441860176425335,0.011759299273193798,0.08331166250283897,inf
5,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.1024672743790391,0.03013065284795218,0.021656548459769748,0.1024672743790391,inf
6,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.0968067829097241,0.022119984138964148,0.012694893322758102,0.0968067829097241,inf
7,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.043720139161315626,0.02935037323692786,0.027967955404930196,0.043720139161315626,inf
8,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.13951733150262563,0.05647910740144842,0.04049091005039009,0.13951733150262563,inf
9,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10604133545310017,0.03495541072961607,0.02163654047928629,0.10604133545310017,inf
10,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.02905571844573761,0.01701992720739858,0.10820034033269328,inf
11,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.1167310253339665,0.04246641203573977,0.05119453992791399,0.1167310253339665,1.8062690203561392e+24
12,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.16837014535543945,0.08273154603855314,0.07030043760251632,0.16837014535543945,inf
13,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.026293706158051832,0.015166866943022005,0.10820034033269328,5.289995544876276e+31
14,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.27749899345487583,0.17516146831886545,0.17340289201633738,0.27749899345487583,9.233191827628748e+34
15,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.11240202100496217,0.03177960844714652,0.02721059469330692,0.11240202100496217,inf
16,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.16892241171652936,0.09340144598175604,0.1031438679927502,0.16892241171652936,9.417217410069604e+18
17,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180536,0.014455885969272478,0.10820034033269328,inf
18,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.31128438599026836,0.22410557414325863,0.23368413724558684,0.31128438599026836,2.668350044849701e+18
19,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180533,0.014455885969272475,0.10820034033269328,inf
20,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.2040116845263904,0.11992308971952845,0.11555511049848441,0.2040116845263904,5.775454397466972e+21
21,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180533,0.014455885969272478,0.10820034033269328,inf
22,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.15983150262562026,0.07912009300278415,0.06908845631122215,0.15983150262562026,1.3216791211497374e+33
23,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180536,0.014455885969272478,0.10820034033269328,inf
24,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180543,0.014455885969272475,0.10820034033269328,8.281912991299487e+27
25,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180533,0.014455885969272475,0.10820034033269328,inf
26,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180536,0.014455885969272473,0.10820034033269328,1.6239597866423733e+24
27,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180543,0.014455885969272473,0.10820034033269328,8.05308337088832e+33
28,7,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.10820034033269328,0.025235967538180533,0.014455885969272475,0.10820034033269328,inf
