Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
23,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9057800982800982,0.894535344228526,0.9147924222924223,0.9057800982800982,3.3488714297612505
24,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9001361588861589,0.8897507647507649,0.9104477704165204,0.9001361588861589,3.359205412864685
25,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9086701474201474,0.9020531396895034,0.9261529691217192,0.9086701474201474,2.9681474208831786
26,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8882534807534809,0.8835363115476753,0.9076740864240864,0.8882534807534809,3.284596188863118
27,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8870413595413595,0.87289256808575,0.8895211282711284,0.8870413595413595,3.36879502137502
28,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8783671171171171,0.8698772666954484,0.894096692065442,0.8783671171171171,3.6078015565872192
29,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9003255528255527,0.892994459187641,0.9164630572130573,0.9003255528255527,3.677855348587036
30,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8850337837837838,0.876476593294775,0.9007633587321088,0.8850337837837838,3.5468725124994918
31,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8893744881244882,0.8765889421003058,0.896861423111423,0.8893744881244882,3.5833975632985426
32,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8880640868140869,0.8752100652100652,0.895034643003393,0.8880640868140869,3.2926275173823036
33,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9217270679770679,0.9137632673996311,0.9319383458133459,0.9217270679770679,3.3215096632639565
34,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8767874692874693,0.873044850919851,0.9087540462540462,0.8767874692874693,2.969681167602539
